#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
303,Hapoel Bank Yahav Jerusalem,48,40.3,82.5,30.0,64.1,.468,8.1,22.3,.364,14.3,21.8,.654,9.3,23.7,33.0,18.3,8.2,2.1,12.6,20.1
304,KTP Basket,45,40.3,82.4,31.8,71.2,.446,7.6,24.9,.307,11.3,15.2,.743,9.9,23.5,33.4,13.4,8.0,2.7,12.6,18.7
305,KK Tamis,36,40.1,82.4,29.4,64.4,.456,8.3,25.4,.325,15.4,21.1,.731,8.1,23.9,32.1,19.3,7.7,1.9,12.2,22.2
306,Lokomotiv Kuban,49,40.4,82.4,28.5,59.7,.477,8.0,21.7,.367,17.4,23.4,.745,9.4,22.9,32.3,18.1,7.6,2.3,12.9,23.3
307,Umana Venezia,60,40.7,82.4,29.8,63.7,.467,9.9,27.0,.365,13.0,18.5,.703,7.6,24.5,32.1,17.9,6.1,3.0,12.1,22.0
308,Zlatibor Cajetina,43,40.0,82.3,29.8,62.4,.477,7.4,24.2,.308,15.4,21.1,.728,8.9,24.9,33.8,18.1,6.5,1.4,15.2,22.7
309,Bursaspor,40,40.0,82.3,28.8,61.4,.469,9.0,25.4,.355,15.8,20.6,.768,8.0,24.3,32.3,20.7,6.3,1.1,10.4,21.4
310,Rueil Athletic Club,37,39.9,82.3,30.8,65.5,.470,8.1,24.1,.337,12.6,18.4,.689,10.3,23.7,33.9,22.4,8.2,1.5,14.1,16.6
311,Yalova Group Belediye Spor,34,40.7,82.3,29.5,64.1,.460,8.6,24.0,.360,14.7,18.9,.780,8.9,21.9,30.8,16.0,7.1,1.4,11.3,21.0
312,Tadamon Zouk,26,39.9,82.3,29.9,71.5,.418,8.6,26.2,.328,13.9,19.4,.718,13.1,23.6,36.7,16.0,6.1,2.2,11.2,14.1
313,Maccabi Ashdod,37,40.4,82.2,29.2,65.7,.444,9.4,26.8,.352,14.5,21.4,.676,12.0,25.3,37.3,17.6,7.3,2.4,14.1,19.2
314,Brissac Aubance Basket,37,40.4,82.2,28.9,60.0,.481,7.8,20.9,.373,16.7,22.2,.751,9.1,23.9,32.9,20.7,7.3,2.4,16.2,18.8
315,Trefl Sopot,31,40.3,82.2,29.7,61.4,.483,8.5,22.1,.383,14.4,20.3,.710,7.6,24.2,31.8,16.8,6.6,2.2,12.5,20.4
316,Penarol,42,40.1,82.2,29.3,64.3,.456,8.3,24.4,.339,15.3,22.5,.679,7.8,24.4,32.2,15.7,5.1,2.5,11.2,21.7
317,AB Contern,29,40.0,82.2,30.3,70.6,.429,8.6,27.0,.319,12.9,18.2,.710,8.3,27.2,35.6,10.8,6.1,2.0,10.8,18.8
318,Toros,14,41.0,82.1,28.9,65.1,.444,8.3,24.1,.343,16.0,23.8,.673,9.8,24.3,34.1,15.7,6.8,3.7,13.9,18.9
319,Siauliai,58,40.2,82.1,30.2,64.3,.470,7.8,22.2,.350,13.9,18.5,.753,10.4,25.7,36.1,20.0,6.6,2.9,14.0,19.7
320,BK JIP Pardubice,50,40.1,82.1,30.5,68.5,.446,7.4,21.3,.346,13.7,19.7,.697,11.5,28.1,39.6,19.4,7.8,2.5,13.7,19.1
321,Allianz Swans Gmunden,44,40.5,82.1,29.5,60.9,.484,8.0,21.9,.363,15.1,19.5,.774,8.1,22.3,30.4,19.2,6.8,2.6,12.8,19.3
322,Universo De'Longhi Treviso,40,40.1,82.1,30.1,63.6,.474,8.8,22.9,.384,13.1,18.0,.726,8.9,23.6,32.5,18.0,7.7,1.6,10.4,20.0
323,Thor Thorl,22,40.2,82.0,29.2,71.0,.411,10.0,31.4,.320,13.6,19.0,.715,7.5,25.2,32.8,17.0,9.8,2.9,11.7,18.8
324,GS Lavrio,28,40.4,82.0,28.7,62.6,.458,8.7,23.9,.363,16.0,22.9,.696,8.3,22.4,30.6,16.8,7.0,3.3,10.7,22.4
325,Ironi Nes Ziona,37,40.2,82.0,28.6,66.5,.431,8.5,23.7,.358,16.2,25.1,.646,9.8,23.2,33.0,17.2,8.9,1.7,13.0,21.4
326,Giessen 46ers II,27,40.5,81.9,29.3,64.1,.457,6.5,20.3,.320,16.9,22.4,.755,9.1,25.7,34.8,15.9,9.7,2.7,15.9,18.6
327,Korihait,40,40.1,81.9,30.9,68.3,.453,7.8,23.0,.338,12.3,17.6,.701,7.6,23.4,31.0,16.1,5.9,1.8,13.3,20.5
328,MZT Skopje Aerodrom,61,39.9,81.9,29.8,63.0,.473,8.7,24.6,.354,13.6,18.8,.725,9.0,24.9,33.9,17.2,6.2,2.3,13.8,20.6
329,Polski Cukier Pszczolka Start Lublin,32,41.3,81.8,29.1,64.9,.448,8.7,25.1,.345,15.0,19.8,.759,9.9,24.4,34.4,15.7,7.7,2.7,13.0,20.6
330,ece bulls Kapfenberg,49,40.1,81.8,30.6,63.6,.482,8.9,23.8,.374,11.7,17.6,.667,11.1,23.8,34.9,17.5,6.3,2.1,12.1,20.6
331,Lietkabelis,57,40.2,81.8,28.6,61.0,.468,8.9,23.9,.371,15.8,20.6,.767,8.1,23.6,31.6,20.2,6.5,3.0,14.7,21.2
332,Casademont Zaragoza,34,40.4,81.8,29.1,64.6,.450,8.9,25.8,.344,14.8,19.1,.771,7.1,22.9,30.0,13.7,5.3,2.6,12.4,21.8
333,HKK Zrinjski,37,40.1,81.8,29.4,62.1,.474,8.8,24.4,.362,14.1,19.8,.709,8.3,23.9,32.3,18.5,8.2,2.9,12.9,21.1
334,KK Skrljevo,27,40.9,81.7,29.7,64.1,.462,9.5,27.6,.345,12.9,17.7,.728,7.7,21.6,29.3,20.1,8.1,1.5,13.5,21.6
335,Stjarnan,26,40.4,81.7,28.8,72.6,.396,8.9,28.7,.311,15.3,20.2,.758,11.7,30.6,42.3,17.4,6.3,3.1,13.4,18.1
336,JL Bourg-en-Bresse,35,40.3,81.7,29.4,60.7,.484,8.9,23.6,.377,14.7,20.3,.724,7.5,21.5,29.1,17.5,6.3,2.2,11.5,18.8
337,Spartak Pleven,24,40.0,81.7,28.0,62.9,.445,10.5,28.7,.368,15.2,21.1,.719,6.3,21.3,27.6,15.8,6.5,0.9,13.5,17.9
338,Alba Fehervar,62,40.2,81.7,31.1,67.1,.464,7.4,22.7,.326,12.0,16.8,.714,9.6,26.4,36.0,17.1,8.1,3.4,12.0,18.5
339,Deportivo Calero,3,40.0,81.7,28.7,76.3,.376,7.7,29.7,.258,16.7,27.0,.617,8.7,29.7,38.3,23.0,8.0,3.3,11.0,20.7
340,Kobrat,40,40.2,81.7,30.2,67.8,.446,8.0,24.7,.325,13.2,18.1,.728,7.3,23.9,31.2,14.4,6.7,3.0,13.2,20.7
341,Hereda San Pablo Burgos,34,40.3,81.6,29.4,64.6,.455,7.6,23.5,.325,15.1,19.8,.763,8.6,22.3,30.9,16.0,6.9,2.8,13.1,21.5
