#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
397,Pau-Orthez,36,40.0,80.6,29.8,63.0,.472,8.3,22.3,.370,13.2,17.4,.762,8.1,21.1,29.2,18.3,7.0,2.0,11.8,17.6
398,IR Reykjavik,30,40.3,80.6,28.9,69.9,.413,9.3,29.5,.315,13.5,20.1,.673,10.7,26.6,37.2,15.6,8.9,4.1,12.6,21.1
399,BC Igokea,38,40.1,80.6,29.1,64.0,.455,7.0,23.4,.300,15.3,20.2,.760,9.0,23.6,32.6,18.0,8.0,1.5,12.1,20.4
400,Andrezieux Boutheon,34,40.1,80.6,30.1,66.2,.454,7.0,21.4,.326,13.4,18.1,.743,10.3,23.9,34.1,19.0,7.0,2.3,13.9,17.8
401,Blu Basket Gruppo Remer Treviglio,33,40.2,80.6,29.4,64.6,.455,8.5,25.9,.328,13.4,17.8,.751,9.5,22.7,32.2,17.6,5.6,1.9,12.1,20.9
402,Dolomiti Energia Trento,60,40.2,80.6,29.3,64.1,.457,7.2,21.7,.330,14.8,21.7,.682,9.4,23.0,32.4,14.1,8.4,1.9,12.1,20.3
403,KK Crvena Zvezda Youth,13,40.0,80.5,30.7,68.3,.449,4.5,17.8,.254,14.6,22.8,.642,13.8,25.4,39.2,17.8,9.5,4.6,14.5,19.2
404,MTV Herzoege Wolfenbuettel,27,40.2,80.5,28.7,60.0,.478,6.7,18.9,.352,16.5,23.1,.714,7.6,26.0,33.6,17.2,6.0,2.9,13.9,20.2
405,Gurjanni Delta Tskhum-Abkhazeti,33,40.3,80.5,28.8,66.7,.432,8.7,27.7,.313,14.2,19.3,.735,8.5,24.3,32.8,17.6,8.7,2.3,13.6,16.8
406,Bristol Flyers,37,40.2,80.5,31.2,71.8,.435,6.6,20.7,.318,11.5,16.5,.696,11.2,27.2,38.4,20.6,6.9,3.1,13.8,18.1
407,Valencia Basket,68,40.3,80.5,27.8,59.3,.469,10.3,25.3,.406,14.6,18.1,.806,8.2,21.7,29.8,16.9,5.6,1.8,11.4,18.5
408,Gimnasia Indalo,47,40.8,80.4,28.7,62.3,.461,8.7,24.3,.358,14.3,18.8,.758,6.3,26.4,32.7,14.6,6.4,2.1,12.6,20.8
409,BC Kolin,36,40.4,80.4,29.4,64.5,.456,7.6,23.5,.321,14.0,18.5,.757,8.8,26.0,34.8,17.0,6.1,1.3,11.5,19.9
410,KK Zagreb,24,40.0,80.4,28.9,65.8,.439,9.0,26.9,.336,13.6,18.8,.724,9.7,22.2,31.9,17.2,6.3,1.8,16.5,19.2
411,Unicaja,67,40.3,80.4,28.6,63.2,.452,8.7,24.6,.355,14.5,18.7,.774,10.4,21.6,32.0,18.3,6.5,1.9,11.5,18.3
412,Fiat Torino,49,40.2,80.3,28.6,64.1,.446,7.4,22.1,.336,15.7,20.9,.748,9.0,22.6,31.7,16.3,7.9,1.6,13.7,20.5
413,Bahcesehir Koleji,44,40.3,80.3,28.9,61.3,.472,9.4,27.3,.346,13.0,17.4,.749,8.4,24.8,33.2,19.0,6.0,2.4,12.1,21.6
414,Dragons Rhoendorf,24,40.2,80.3,28.3,63.6,.446,7.0,22.3,.314,16.7,23.5,.710,9.5,25.5,35.0,18.9,9.9,2.8,15.4,20.5
415,Artland Dragons,27,40.6,80.3,28.3,60.7,.466,7.6,21.5,.351,16.2,22.4,.724,8.9,22.9,31.7,20.3,8.3,2.6,14.0,22.5
416,Fuerza Regia,54,40.2,80.3,29.9,62.2,.480,9.6,25.3,.380,11.0,16.2,.679,7.7,24.9,32.6,18.9,6.0,2.4,12.1,20.9
417,KK Vogosca,30,40.0,80.3,31.0,63.4,.489,8.2,23.8,.345,10.0,15.1,.664,8.5,22.0,30.4,17.6,7.5,3.0,14.4,18.5
418,JA Vichy,34,40.8,80.3,28.9,63.1,.458,7.5,21.5,.349,15.3,20.6,.742,8.1,22.9,31.1,17.9,8.2,2.1,13.5,19.8
419,DEAC,32,40.2,80.3,29.1,64.6,.450,8.4,26.7,.315,13.8,18.8,.730,7.9,26.4,34.3,17.1,6.1,3.8,12.2,20.6
420,Anadolu Efes,69,40.0,80.3,29.3,62.9,.466,7.8,21.9,.355,13.9,18.2,.764,9.5,21.3,30.8,16.5,5.9,3.1,11.2,19.0
421,Perlas Vilnius,43,40.0,80.3,30.2,67.6,.446,8.3,25.5,.325,11.7,16.6,.703,12.3,21.2,33.5,17.0,9.0,2.9,14.6,22.1
422,Kaposvari KK,34,40.6,80.2,30.0,64.6,.464,6.4,20.9,.305,13.9,18.6,.748,8.5,26.9,35.4,17.2,6.0,2.8,12.6,19.2
423,Gladiators Trier,39,40.1,80.2,28.0,63.8,.439,9.1,25.2,.363,15.1,19.9,.757,9.7,22.8,32.4,18.3,6.2,1.8,12.9,22.4
424,Panteras,13,40.0,80.2,28.7,62.2,.461,4.7,15.2,.310,18.2,24.9,.728,12.1,24.6,36.7,15.7,6.4,2.7,12.3,18.3
425,Gostivar 2015,32,40.0,80.2,29.3,63.8,.459,9.3,28.2,.329,12.4,17.2,.721,9.2,21.8,31.0,19.3,9.5,1.6,12.9,18.6
426,Mens Sana 1871 Siena,30,40.2,80.2,29.7,63.0,.471,7.4,21.3,.350,13.4,17.9,.745,7.9,23.3,31.1,14.7,5.1,1.1,10.1,19.9
427,AZS Koszalin,31,40.5,80.2,29.0,63.5,.457,7.5,23.1,.322,14.7,21.2,.696,7.8,23.3,31.2,14.8,6.3,2.5,12.7,20.5
428,Nova Hut Ostrava,32,40.3,80.1,28.7,61.8,.464,6.9,21.0,.328,15.9,23.0,.693,8.8,22.8,31.6,14.7,6.7,1.4,13.8,21.5
429,SLUNETA Usti nad Labem,39,40.5,80.1,28.9,62.9,.459,7.6,22.3,.341,14.7,19.6,.749,7.2,25.1,32.3,14.3,6.2,2.2,11.4,19.3
430,Selcuklu Belediyesi,41,40.0,80.1,28.8,59.1,.487,9.0,22.8,.395,13.5,18.5,.726,7.8,24.3,32.0,19.5,5.7,2.9,12.9,21.0
431,Club Olimpia,6,39.9,80.0,29.0,66.3,.437,6.5,21.8,.298,15.5,22.3,.694,8.3,28.5,36.8,21.3,6.5,3.3,13.8,21.5
432,Basket Esch,25,40.4,80.0,29.2,65.0,.450,6.8,21.7,.315,14.7,20.3,.722,8.9,28.7,37.6,14.8,5.5,1.6,13.7,17.9
433,Edilnol Pallacanestro Biella,34,40.1,80.0,29.9,64.8,.462,7.9,24.2,.328,12.2,16.8,.725,10.8,23.3,34.1,13.7,5.4,2.4,10.9,20.7
434,Galatasaray,46,40.1,80.0,30.0,62.7,.478,8.3,23.4,.353,11.8,16.2,.730,7.9,21.8,29.7,19.3,6.9,2.2,11.8,19.9
435,Franca,31,40.2,80.0,29.4,63.7,.461,8.2,24.7,.330,13.0,18.8,.690,9.4,25.7,35.1,17.2,7.3,2.8,13.9,21.5
436,Phoenix Hagen,33,40.3,79.9,28.0,63.5,.441,9.0,24.7,.366,14.9,21.1,.706,9.2,27.2,36.4,20.6,5.7,4.7,15.0,16.6
437,Levanga Hokkaido,60,40.5,79.9,29.5,64.6,.457,6.3,18.4,.343,14.6,19.1,.766,9.3,22.6,31.9,21.7,8.0,3.2,13.0,18.8
438,Pecsi VSK-Veolia,37,40.4,79.9,30.0,64.7,.464,9.6,26.8,.359,10.3,14.7,.699,7.0,25.2,32.2,16.5,7.5,1.4,11.2,19.9
439,Juventus,59,40.2,79.9,27.6,62.9,.439,8.0,22.8,.351,16.6,22.1,.754,10.4,22.3,32.7,17.7,7.7,2.2,13.8,19.0
440,Nanterre 92,56,40.5,79.9,28.6,62.8,.456,10.2,27.0,.376,13.1,17.3,.761,7.6,21.1,28.7,16.9,6.7,1.8,10.8,19.9
441,BCM U Pitesti,34,40.4,79.8,28.4,61.2,.464,9.2,23.9,.385,13.9,17.6,.786,8.9,24.1,33.0,17.3,5.8,2.7,13.7,20.1
442,Ohrid AV,32,40.3,79.8,30.1,65.7,.458,5.3,19.1,.275,14.4,20.6,.697,10.0,25.3,35.3,13.7,7.5,2.4,14.3,21.7
443,Naft Abadan,15,40.3,79.8,27.4,62.8,.436,8.5,25.4,.333,16.5,26.5,.623,10.7,27.3,38.0,14.6,7.4,1.9,15.0,21.3
444,Bertram Tortona,34,40.6,79.8,28.3,62.4,.454,10.0,27.0,.369,13.2,17.7,.744,7.5,23.8,31.3,13.4,3.7,1.3,10.8,20.2
445,KB Borea,26,40.0,79.8,30.6,70.0,.437,6.6,26.9,.246,11.5,19.5,.589,10.3,27.2,37.5,20.7,9.2,1.3,19.3,17.2
446,2B Control Trapani,34,41.0,79.8,28.0,60.7,.461,8.6,22.9,.377,15.2,19.1,.794,8.8,23.5,32.3,14.1,3.8,1.2,10.8,19.8
447,Brose Baskets Bamberg,72,40.1,79.8,26.8,56.8,.472,8.4,21.8,.387,17.7,21.8,.812,6.5,22.1,28.6,17.1,5.5,1.9,11.5,20.7
448,Sidigas Avellino,57,40.9,79.8,29.8,61.2,.487,8.7,23.4,.371,11.5,16.5,.694,8.3,25.6,33.8,18.4,5.5,3.3,13.4,18.8
449,Port of Antwerp Giants,55,40.0,79.7,28.8,62.0,.464,8.3,22.5,.370,13.8,18.4,.751,9.6,24.2,33.8,18.2,6.9,3.0,11.7,19.8
450,Yesilgiresun Belediye,30,40.2,79.7,28.8,61.5,.467,7.0,19.1,.365,15.2,20.9,.727,10.4,21.2,31.6,15.2,5.4,1.8,12.9,18.4
451,Radnicki 1950 Kragujevac,26,40.2,79.7,28.5,64.7,.440,7.1,21.8,.325,15.7,21.7,.725,9.4,22.2,31.6,17.0,7.5,1.9,15.4,22.8
452,SSV lok Bernau Alba,24,40.0,79.7,28.3,62.7,.451,6.9,21.7,.317,16.2,23.0,.703,9.5,24.8,34.3,18.7,7.8,2.4,17.2,21.0
453,Regatas Corrientes,49,40.2,79.6,28.8,61.6,.468,8.9,24.9,.356,13.1,18.3,.715,8.1,23.6,31.7,16.9,6.4,2.2,12.4,17.3
454,Pinar Karsiyaka,50,40.2,79.6,29.2,58.6,.498,7.1,18.9,.377,14.1,18.5,.764,6.6,21.4,28.0,18.3,5.5,2.0,12.1,21.1
455,Okapi Aalstar,41,39.9,79.6,28.0,57.7,.485,9.3,22.1,.423,14.3,17.9,.800,5.5,24.3,29.9,14.5,5.5,1.6,11.7,19.2
456,AS Apollon Patras,33,40.6,79.6,26.8,58.3,.460,7.2,21.1,.344,18.8,24.5,.765,7.5,25.0,32.5,14.0,5.8,2.4,12.4,19.8
457,Agustinos-Eras E. Leclerc Leon,30,40.2,79.6,30.2,67.2,.449,7.4,24.4,.305,11.8,17.6,.672,9.0,24.2,33.2,13.2,5.4,3.4,11.5,18.7
458,CB Zamora Chef,30,40.2,79.6,28.4,61.7,.460,9.4,24.7,.381,13.4,17.0,.786,8.0,21.9,29.8,12.5,5.8,1.2,11.8,20.9
459,LTHCast Skofja,10,40.0,79.6,27.2,62.4,.436,8.0,24.0,.333,17.2,21.9,.785,9.1,22.5,31.6,12.4,4.8,2.2,15.0,20.0
460,Limburg United,38,40.2,79.6,29.2,63.9,.456,8.1,22.0,.366,13.2,18.5,.713,8.4,22.6,31.1,18.9,6.5,3.4,12.3,22.9
461,BBC Sparta Bertrange,22,39.4,79.5,29.5,68.5,.431,5.3,21.5,.247,15.2,22.2,.685,9.7,24.9,34.5,11.4,8.1,2.9,14.0,20.6
462,Brose Baskets U18,4,40.0,79.5,26.8,62.5,.428,8.5,28.8,.296,17.5,24.3,.722,9.8,22.3,32.0,17.0,9.3,3.8,20.3,20.0
463,Union Neuchatel Basket,34,40.1,79.5,29.3,60.8,.482,6.5,18.1,.360,14.3,19.3,.742,8.3,23.7,31.9,17.9,6.4,2.1,13.9,20.2
464,Vasco da Gama,32,40.2,79.4,27.5,61.3,.449,8.5,26.5,.321,15.8,21.3,.741,7.4,23.4,30.8,19.1,6.1,1.8,12.6,19.8
465,Chalon-Sur-Saone,48,40.0,79.4,28.3,63.5,.446,9.8,27.2,.359,13.3,17.4,.763,9.3,22.9,32.2,17.3,5.4,1.8,11.6,17.5
466,APOEL Nicosia,25,40.2,79.4,29.0,60.0,.482,7.4,21.1,.349,13.9,21.0,.661,9.0,22.2,31.2,18.3,7.0,2.0,14.6,22.8
467,Mesarija Prunk Sezana,10,40.0,79.4,29.4,64.5,.456,7.8,22.7,.344,12.8,18.9,.677,8.9,23.4,32.3,15.6,6.8,2.5,12.7,19.7
468,Poderosa Basket Montegranaro,38,40.1,79.4,28.1,60.7,.463,9.7,27.4,.354,13.4,17.1,.789,7.0,24.0,30.9,14.9,7.0,2.6,12.9,19.7
469,Miasto Szkla Krosno,31,40.3,79.4,27.7,59.7,.465,9.0,23.0,.392,14.9,20.2,.738,6.3,22.6,28.9,15.0,6.0,1.6,13.1,21.0
470,Le Mans Sarthe Basket,50,40.3,79.4,28.4,60.1,.473,7.4,20.2,.366,15.1,20.7,.733,8.7,24.6,33.4,18.3,6.7,2.8,12.4,17.0
471,Neptuans Akvaservis Klaipeda,45,40.0,79.3,28.2,62.7,.449,9.1,26.7,.341,13.9,20.1,.689,9.7,26.1,35.8,18.3,6.0,2.1,13.0,17.3
472,Igokea U19,6,40.0,79.3,29.8,65.2,.458,6.0,19.8,.303,13.7,22.2,.617,12.7,24.0,36.7,20.2,10.3,1.8,19.2,22.0
473,Joventut Badalona,38,40.5,79.3,27.9,63.4,.441,8.5,25.4,.335,14.9,19.4,.769,9.2,21.5,30.7,15.0,7.4,2.1,12.9,22.6
474,Eskishehir Basket,33,40.7,79.3,28.2,60.3,.467,8.8,23.9,.370,14.1,18.6,.759,8.5,24.8,33.2,18.5,4.7,2.0,13.6,19.2
475,Darussafaka Basketbol Istanbul,56,40.4,79.2,28.1,61.3,.458,7.8,22.3,.352,15.3,20.1,.760,8.8,24.2,33.0,16.3,6.7,2.5,11.0,19.3
476,Sigortam.net ITU Bakiroy,33,40.4,79.2,27.8,63.4,.439,9.2,27.4,.336,14.3,19.9,.720,7.5,26.4,33.9,15.9,5.7,1.3,11.9,16.8
477,Real Madrid U18,7,40.0,79.1,28.4,62.1,.457,5.1,21.9,.235,17.1,25.0,.686,13.0,27.6,40.6,17.6,8.7,3.9,14.4,15.1
478,Virtus Roma,30,40.7,79.1,28.2,62.0,.455,7.3,23.2,.315,15.4,18.6,.825,7.6,22.3,30.0,14.4,6.3,1.6,12.2,22.7
479,Cairns,28,39.9,79.1,27.4,66.5,.411,9.9,27.6,.359,14.5,18.9,.767,11.3,20.6,31.8,16.6,6.6,2.5,11.7,19.2
480,Telenet BC Oostende,59,40.1,79.1,27.7,56.8,.488,8.3,21.3,.388,15.4,21.5,.719,7.9,26.3,34.2,17.3,5.8,2.5,12.4,19.3
481,Toyota Alvark,65,40.3,79.1,29.4,63.0,.467,6.2,17.6,.352,14.0,18.4,.761,9.2,24.9,34.1,18.4,6.6,3.3,10.6,17.7
482,BC Timba Timisoara,30,40.2,79.1,29.1,61.2,.476,6.7,19.9,.334,14.2,21.2,.670,8.8,24.1,33.0,16.9,6.8,1.5,15.8,15.8
483,KK Mladost,30,39.8,79.0,29.0,59.4,.488,7.9,21.7,.363,13.2,18.1,.732,8.8,21.4,30.2,14.9,6.0,1.6,13.5,17.3
484,Egis Kormend,62,40.2,79.0,28.4,61.2,.465,9.3,24.7,.377,12.8,17.1,.752,8.4,24.1,32.5,16.0,6.0,2.0,13.2,21.8
485,Hapoel Eilat,38,40.4,79.0,28.9,61.7,.468,7.3,19.4,.375,14.0,19.9,.702,9.4,24.7,34.2,17.3,6.9,2.0,13.7,19.7
486,Saint-Quentin Basketball,40,40.0,79.0,28.7,59.7,.481,9.3,25.8,.359,12.3,17.3,.712,7.2,22.6,29.7,17.2,7.6,2.3,13.0,18.3
487,Demir Insaat Buyukcekmece,46,40.4,79.0,28.4,60.6,.469,7.8,21.4,.364,14.5,20.8,.695,8.0,24.0,31.9,16.1,6.1,2.3,11.8,17.8
488,La Union de Formosa,47,40.2,79.0,27.8,61.7,.450,7.5,22.2,.339,15.9,22.3,.714,7.5,26.6,34.1,14.1,6.8,2.2,12.4,19.3
489,VFL Astrostars Bochum,28,40.7,79.0,27.5,63.0,.437,7.0,21.4,.329,16.9,24.0,.703,9.4,26.2,35.6,18.3,7.0,1.9,15.2,20.5
490,Kedainiai Nevezis,55,40.3,79.0,28.8,62.6,.460,9.6,24.9,.385,11.8,15.9,.743,9.1,22.6,31.7,16.4,5.9,1.7,13.1,19.1
491,Union Olimpija,76,40.4,79.0,28.7,62.2,.462,7.7,22.5,.342,13.8,19.1,.723,8.7,23.1,31.7,17.0,7.9,2.2,13.3,21.3
492,Lenovo Tenerife,55,40.2,79.0,28.5,61.1,.466,8.5,24.5,.349,13.5,18.0,.748,9.9,24.2,34.1,18.2,6.1,2.9,12.5,20.3
493,Gemani Basket Brescia,40,40.6,79.0,28.6,63.0,.454,8.2,24.1,.341,13.5,19.5,.694,9.4,24.2,33.6,17.2,7.7,2.0,11.6,18.7
494,BC Souffelweyersheim,34,40.0,79.0,30.1,64.0,.470,8.6,24.3,.354,10.2,14.6,.701,9.6,22.9,32.5,17.8,7.0,1.5,13.9,20.7
495,Ezerunas Moletai,44,40.2,79.0,28.7,63.6,.451,8.9,25.5,.349,12.6,17.1,.740,9.7,23.8,33.5,17.7,6.7,3.7,14.5,18.7
496,Atomeromu SE,36,40.0,78.9,28.8,64.3,.449,9.4,26.9,.347,11.9,15.3,.781,8.8,23.6,32.4,16.1,6.4,1.2,10.0,17.4
497,Landstede Zwolle,36,40.1,78.9,28.9,63.9,.453,7.7,21.4,.359,13.4,17.8,.752,8.8,25.9,34.7,15.0,9.1,1.6,12.3,17.5
498,BG Goettingen,34,40.0,78.9,28.1,63.3,.444,8.9,26.4,.338,13.8,18.6,.742,8.7,20.8,29.4,18.1,6.4,2.2,12.7,21.9
499,BAXI Manresa,47,40.3,78.9,29.2,64.3,.454,7.5,23.0,.326,13.1,18.6,.706,10.3,24.4,34.7,15.2,7.4,3.0,11.0,20.7
500,PBC Lukoil Academic Sofia,36,40.0,78.9,29.4,64.4,.457,7.8,24.3,.320,12.3,17.5,.704,9.6,23.2,32.9,17.8,8.3,1.8,14.9,20.1
501,Hoops Club,34,39.9,78.9,30.2,69.3,.436,8.3,24.8,.336,10.1,14.5,.700,11.8,25.9,37.7,18.2,7.8,2.6,13.1,17.4
502,Belfius Mons-Hainaut,55,40.5,78.9,29.2,59.1,.494,7.5,18.5,.404,13.0,18.0,.726,7.0,23.3,30.3,14.3,5.7,1.6,11.9,20.1
503,Noma Iserlohn Kangaroos,28,40.5,78.8,28.2,61.9,.456,7.2,21.1,.342,15.2,22.7,.669,9.1,22.6,31.8,15.7,9.2,2.0,16.1,19.5
504,Nagoya Diamond Dolphins,62,40.4,78.8,29.0,64.1,.452,8.7,25.0,.350,12.1,16.4,.736,7.7,24.8,32.5,18.8,6.4,1.8,12.2,16.9
505,MbK Zu Zilina,36,40.2,78.8,29.0,66.9,.434,5.9,20.5,.286,14.9,21.9,.680,9.9,21.6,31.4,12.3,7.8,2.5,13.3,18.3
506,KK Dunav Stari Banovci,25,40.0,78.8,27.3,60.2,.453,7.2,22.0,.328,17.0,24.4,.697,9.3,23.4,32.7,14.4,6.8,2.9,16.7,21.8
507,Sorgues Basket Club,34,40.0,78.8,28.9,60.9,.475,8.4,23.7,.352,12.6,18.1,.699,8.3,20.9,29.2,16.6,7.3,1.1,14.1,19.9
508,Feli Pharma Ferrara,38,40.3,78.8,28.6,64.7,.441,9.2,27.9,.330,12.4,18.3,.682,9.8,26.8,36.6,17.2,6.4,1.6,12.4,20.3
509,Gimle BBK,29,40.2,78.8,29.3,69.6,.422,7.6,24.9,.304,12.5,17.0,.736,10.9,23.9,34.8,17.1,8.1,1.8,13.8,18.9
510,KK Sutjeska,12,40.0,78.8,26.9,60.9,.442,10.6,29.1,.364,14.3,19.4,.738,9.0,24.3,33.3,17.4,7.3,2.5,11.9,18.5
511,Science City Jena,34,40.2,78.7,27.7,60.8,.456,9.2,24.4,.379,14.2,19.1,.743,8.2,20.7,28.9,18.7,7.3,2.0,12.7,22.5
512,Rethymno,26,40.5,78.7,26.8,60.4,.443,8.9,25.7,.347,16.3,22.3,.728,8.4,22.4,30.8,15.5,7.7,3.1,13.1,21.4
513,CB Lucentum Alicante,43,40.7,78.7,28.1,64.1,.438,10.5,30.1,.349,12.0,17.0,.707,9.7,25.0,34.7,14.7,6.0,3.1,10.6,19.6
514,Karpos Sokoli,39,40.2,78.7,29.2,66.2,.441,7.4,22.8,.322,13.0,18.2,.715,7.4,20.6,28.0,15.1,7.4,1.3,12.7,16.2
515,ALM Evreux Basket,34,40.1,78.7,28.9,60.5,.478,6.5,19.8,.328,14.6,19.7,.740,8.2,22.7,30.9,19.6,6.8,2.3,14.7,17.9
516,Mgzavrebi-Armia Tbilisi,39,39.9,78.6,29.0,65.2,.445,6.3,20.8,.300,14.4,21.9,.658,9.5,26.2,35.7,15.5,8.2,2.9,15.4,18.9
517,Virtus Bologna,31,40.2,78.6,29.4,64.8,.453,8.6,25.5,.339,11.2,16.5,.680,9.5,22.7,32.3,14.6,7.6,1.3,12.3,18.8
518,KK Spartak Subotica,25,40.1,78.6,28.2,64.6,.436,8.7,27.4,.318,13.5,19.4,.697,10.9,22.3,33.2,13.5,6.6,2.4,14.1,22.3
519,ZZ Leiden,43,40.0,78.6,29.4,68.1,.432,8.5,27.1,.312,11.3,17.1,.662,11.1,24.6,35.7,20.1,10.5,2.9,11.5,16.3
520,Pinheiros/Sky,36,40.0,78.6,27.9,63.1,.443,6.9,21.5,.320,15.8,22.7,.698,9.5,24.7,34.2,16.1,7.6,1.9,11.9,19.3
521,s.Oliver Baskets,36,40.1,78.6,26.8,58.8,.456,9.1,25.9,.353,15.8,20.5,.770,7.3,22.3,29.6,16.5,5.8,2.2,11.1,22.0
522,Moncada Agrigento,33,40.2,78.5,29.0,64.6,.449,7.5,22.8,.329,13.0,17.2,.756,9.2,22.2,31.4,14.6,6.0,1.5,10.3,20.4
523,Viola Reggio Calabria,30,40.5,78.5,26.9,60.4,.445,8.3,24.6,.336,16.5,21.5,.770,8.7,23.0,31.7,16.9,6.1,1.0,11.6,20.8
524,Antalya BSB,36,40.1,78.5,28.0,62.2,.451,8.9,25.8,.343,13.6,19.6,.693,8.6,24.7,33.3,16.4,7.3,2.0,12.5,18.1
525,Istanbul Buyuksehir Belediyesi,46,40.3,78.5,28.4,60.7,.468,7.7,21.9,.349,14.0,19.3,.728,8.4,20.7,29.0,19.0,5.8,2.0,12.7,19.0
526,PAOK BC,50,40.2,78.5,26.8,59.6,.450,8.5,23.4,.363,16.4,22.7,.721,8.6,23.7,32.4,16.2,7.4,2.1,12.8,23.9
527,Zalgiris II,49,40.1,78.5,28.2,61.6,.458,5.4,17.2,.317,16.6,21.5,.772,11.0,23.9,34.9,16.2,7.3,3.3,14.8,20.9
528,ASP Promitheas Patras,34,39.9,78.5,27.8,62.4,.445,8.9,25.7,.345,14.1,19.3,.731,9.3,23.3,32.6,17.8,6.9,2.3,13.1,19.6
529,Jonava Jonavos,46,40.2,78.5,28.4,65.3,.435,6.7,21.4,.314,15.0,20.5,.732,12.1,23.3,35.5,15.8,9.8,2.3,15.4,21.6
530,Boras Basket,38,40.7,78.4,28.0,63.7,.439,7.5,22.3,.336,15.0,19.6,.766,9.3,24.1,33.4,15.8,5.4,3.8,12.1,18.6
531,Saint Chamond Basket,36,40.7,78.4,28.6,61.9,.462,8.0,23.4,.341,13.5,19.0,.711,7.9,25.5,33.5,19.5,5.2,3.2,14.1,18.3
532,Dinamo,51,40.2,78.4,29.2,64.3,.455,6.6,20.2,.326,13.4,18.3,.732,9.0,26.6,35.5,18.6,7.8,3.2,14.0,20.9
533,Termoiforgia Jesi,33,40.3,78.4,28.3,69.0,.410,10.7,31.5,.338,11.2,15.2,.736,9.9,24.3,34.2,14.5,8.2,1.5,11.5,18.4
534,Sopron KC,34,40.6,78.4,28.3,64.7,.437,7.1,24.6,.289,14.8,20.1,.735,9.4,23.4,32.8,14.7,7.2,1.6,11.2,18.7
535,Terme Olimia Podcetrtek,10,40.5,78.4,28.4,63.6,.447,8.3,25.5,.325,13.3,17.8,.747,8.5,25.2,33.7,16.6,6.7,0.6,14.2,21.9
536,Sodertalje,38,40.3,78.4,29.1,61.2,.475,8.2,22.8,.360,12.0,15.7,.767,6.9,23.5,30.4,15.8,6.1,3.4,13.5,19.9
537,Boulogne-Levallois,44,40.1,78.4,28.3,62.0,.457,7.7,23.1,.332,14.4,19.4,.743,8.5,24.1,32.6,18.6,5.6,2.7,13.9,21.5
538,Byblos,26,40.1,78.4,29.7,71.0,.418,7.5,25.9,.291,11.5,15.5,.739,12.2,25.0,37.2,15.4,6.8,3.4,11.7,18.2
539,Redwell Gunners Oberwart,32,40.5,78.4,28.4,63.0,.451,7.3,20.9,.348,14.3,19.6,.728,9.0,21.2,30.2,15.2,6.3,2.3,12.9,23.1
540,Turi Svitavy,44,40.1,78.4,27.8,62.2,.447,9.6,26.3,.364,13.3,18.5,.718,8.4,23.5,31.9,19.0,6.9,2.8,13.2,20.6
541,SO Maritime Boulogne,39,39.9,78.3,28.5,61.2,.466,7.8,21.2,.367,13.5,17.9,.754,8.5,23.8,32.3,17.7,8.2,2.3,15.3,20.7
542,Balikesir Buyuksehir Belediysepor,34,40.4,78.3,28.7,60.4,.475,8.4,23.9,.350,12.6,17.8,.707,8.2,23.7,31.9,17.0,5.9,1.8,14.7,21.7
543,Helios Domzale,32,40.6,78.3,26.5,57.6,.459,7.7,22.2,.348,17.6,23.4,.753,6.6,22.8,29.4,17.9,6.0,1.7,13.1,21.8
544,Khimki BC U18,4,40.0,78.3,28.3,62.8,.450,7.0,20.3,.346,14.8,21.0,.702,7.8,23.8,31.5,19.8,7.0,4.0,16.0,19.5
545,Manchester Giants,33,40.0,78.2,31.4,71.1,.442,5.1,18.9,.271,10.3,15.2,.681,10.7,25.2,36.0,18.9,5.7,2.7,15.7,18.8
546,L.B. Legnano Knights,33,40.2,78.2,28.9,63.8,.454,8.8,25.0,.350,11.6,15.5,.747,9.7,24.8,34.5,15.6,5.3,1.9,10.8,18.0
547,Changwon LG Sakers,54,40.2,78.2,30.2,67.0,.450,6.0,18.8,.321,11.8,16.7,.708,10.9,23.5,34.4,18.1,6.5,2.1,10.6,20.6
548,Bayer Giants Leverkusen,25,40.2,78.2,27.8,66.2,.421,7.4,23.7,.310,15.2,20.2,.752,10.8,24.0,34.9,17.2,7.2,3.6,13.9,21.8
549,Galitos Barreiro,35,40.0,78.2,28.2,60.2,.468,6.7,20.6,.325,15.2,20.1,.756,7.8,21.3,29.1,14.0,7.6,2.3,12.3,18.5
550,Gigantes,14,40.4,78.2,29.1,65.5,.444,6.2,22.0,.282,13.9,20.1,.690,12.4,22.9,35.3,14.7,7.2,1.9,13.4,19.7
551,BK Lions Jindrichuv Hradec,32,40.0,78.2,28.8,64.4,.447,9.2,25.3,.363,11.4,15.3,.748,8.0,19.0,27.0,17.7,6.7,2.5,14.2,20.9
552,Teksut Bandirma,54,40.7,78.2,28.5,58.0,.491,8.4,21.9,.382,12.8,19.1,.670,7.4,23.1,30.5,17.6,6.2,2.1,11.7,20.5
553,GKK Sibenk,25,40.6,78.2,28.2,57.2,.493,8.9,23.2,.383,12.8,16.5,.775,6.2,21.5,27.6,17.9,6.7,2.2,13.8,24.3
554,ADO Basquetebol Sad Ovarense,31,40.3,78.1,26.5,60.4,.439,7.3,24.2,.301,17.7,24.2,.734,10.2,21.1,31.3,13.8,8.3,2.1,15.3,22.6
